CountryCode,SeriesCode,DESCRIPTION
ABW,SM.POP.NETM,Data sources : United Nations World Population Prospects
ABW,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
ABW,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
ABW,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
ABW,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.LE00.IN,Derived using male and female life expectancy
ABW,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.POP.GROW,Data sources: United Nations World Population Prospects
ABW,SP.POP.TOTL,Data sources: United Nations World Population Prospects
ADO,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside.
ADO,SP.DYN.CBRT.IN,Data sources : Eurostat
ADO,SP.DYN.CDRT.IN,Data sources : Eurostat
ADO,SP.DYN.TFRT.IN,Data sources : Eurostat
ADO,SP.POP.GROW,Data sources: United Nations World Population Prospects
ADO,SP.POP.TOTL,Data sources: United Nations World Population Prospects
AFG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2011 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2011 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief.
AFG,NE.CON.PRVT.PP.CD,Estimates are based on regression.
AFG,NE.CON.PRVT.PP.KD,Estimates are based on regression.
AFG,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
AFG,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
AFG,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
AFG,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
AFG,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
AFG,NY.GNP.MKTP.PP.KD,Estimates are based on regression.
AFG,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
AFG,NY.GNP.PCAP.PP.KD,Estimates are based on regression.
AFG,PA.NUS.PPP,Estimates are based on regression.
AFG,PA.NUS.PPPC.RF,Estimates are based on regression.
